               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1101,            0.044837,            0.039091,           0.0013113,             0.15238,            0.001229,          0.00025371,            0.095831,            0.026383,            0.038656,              0.0901,              0.0011,              0.0011
                   1,            0.095568,            0.050265,            0.033994,           0.0024222,             0.33175,             0.04095,             0.01031,            0.083044,            0.025287,            0.032536,            0.079292,           0.0022924,           0.0022924
                   2,            0.087051,            0.053971,            0.027787,             0.55843,             0.14752,              0.1055,            0.038596,            0.078068,            0.022452,            0.026825,            0.068477,           0.0034769,           0.0034769
                   3,            0.081744,            0.045885,            0.023583,             0.60431,             0.26032,             0.26493,            0.067728,            0.069871,            0.022206,             0.02207,            0.057653,           0.0046535,           0.0046535
                   4,            0.084973,            0.042196,            0.017863,             0.48395,            0.092063,              0.0633,            0.012593,            0.081725,            0.018404,             0.02181,            0.046822,           0.0058221,           0.0058221
                   5,            0.083592,            0.039729,            0.015852,              0.5813,             0.27619,             0.19018,            0.066681,            0.076204,            0.016439,            0.017363,            0.035983,           0.0069829,           0.0069829
                   6,            0.077521,            0.038413,            0.013838,              0.2966,             0.62698,             0.40783,             0.12305,            0.066071,            0.016027,            0.018547,            0.025136,           0.0081357,           0.0081357
                   7,            0.095153,            0.027309,            0.012671,             0.20218,             0.20916,             0.11032,            0.034608,            0.098309,            0.011304,            0.018408,            0.014281,           0.0092806,           0.0092806
                   8,            0.097466,            0.028393,           0.0099365,             0.40445,             0.29208,             0.30423,            0.096717,            0.093948,            0.012869,            0.016514,            0.009736,            0.009736,            0.009736
                   9,            0.087581,            0.025842,           0.0072847,             0.34177,             0.40317,             0.35278,            0.090682,            0.091307,            0.013828,            0.013514,            0.009736,            0.009736,            0.009736
                  10,            0.085922,            0.028636,           0.0072129,             0.50686,             0.34127,             0.33366,             0.16761,             0.08517,            0.013171,            0.012619,            0.009703,            0.009703,            0.009703
                  11,            0.077419,            0.029082,           0.0070845,             0.60866,             0.51711,             0.50773,              0.1609,            0.075386,             0.01305,             0.01287,             0.00967,             0.00967,             0.00967
                  12,            0.075549,            0.029611,           0.0058744,             0.66382,             0.53016,             0.52178,             0.18485,            0.073137,            0.014296,            0.012542,            0.009637,            0.009637,            0.009637
                  13,            0.073693,            0.027895,           0.0047079,             0.44643,             0.45342,             0.47165,             0.16991,            0.075338,            0.013993,            0.015522,            0.009604,            0.009604,            0.009604
                  14,            0.066443,            0.028059,           0.0046257,             0.55697,             0.55385,             0.57474,             0.31401,            0.068074,            0.013573,            0.018666,            0.009571,            0.009571,            0.009571
                  15,            0.059479,            0.025474,           0.0047332,             0.65947,             0.54127,             0.56497,             0.23637,            0.062353,            0.013432,            0.017358,            0.009538,            0.009538,            0.009538
                  16,            0.062353,            0.025668,            0.004025,              0.4886,             0.65079,             0.54819,             0.24495,            0.060598,            0.015083,            0.017691,            0.009505,            0.009505,            0.009505
                  17,            0.058169,            0.026276,           0.0034026,             0.56472,             0.59206,             0.59236,             0.29278,            0.054857,            0.012764,            0.017199,            0.009472,            0.009472,            0.009472
                  18,             0.05447,            0.026376,           0.0037333,             0.73667,             0.71648,             0.68994,             0.33572,            0.053807,            0.012829,             0.01345,            0.009439,            0.009439,            0.009439
                  19,            0.048536,            0.026032,           0.0046444,             0.78061,              0.7553,             0.78623,             0.33238,            0.053216,            0.011642,            0.014067,            0.009406,            0.009406,            0.009406
                  20,            0.053087,            0.025815,           0.0033286,             0.88069,             0.70489,             0.83343,             0.38738,             0.04631,            0.011223,            0.016824,            0.009373,            0.009373,            0.009373
                  21,            0.050723,            0.024876,           0.0029676,             0.86432,             0.78738,             0.86305,             0.42025,            0.044725,            0.011043,            0.015909,             0.00934,             0.00934,             0.00934
                  22,            0.051224,             0.02389,           0.0033893,             0.71844,             0.73457,             0.69449,              0.3104,            0.051397,            0.012535,            0.017395,            0.009307,            0.009307,            0.009307
                  23,            0.047681,             0.02463,           0.0032742,             0.88975,              0.6671,             0.73249,             0.39003,            0.045949,            0.014081,            0.014356,            0.009274,            0.009274,            0.009274
                  24,            0.042355,            0.025317,           0.0032675,             0.79797,             0.70673,             0.76487,             0.32864,            0.043775,            0.012179,              0.0156,            0.009241,            0.009241,            0.009241
                  25,            0.043353,            0.023119,           0.0032384,             0.87752,             0.73584,             0.76351,             0.37481,            0.042467,            0.012005,            0.014259,            0.009208,            0.009208,            0.009208
                  26,            0.043816,            0.022708,            0.002488,             0.71799,             0.77581,             0.76976,             0.43621,            0.039677,            0.011794,            0.010404,            0.009175,            0.009175,            0.009175
                  27,            0.043434,            0.022753,           0.0019677,             0.88569,             0.78308,             0.80651,             0.42102,            0.042077,            0.011718,            0.010065,            0.009142,            0.009142,            0.009142
                  28,            0.041093,            0.021808,           0.0023449,             0.79741,             0.81898,             0.82097,             0.41602,            0.039849,            0.011635,             0.01059,            0.009109,            0.009109,            0.009109
                  29,            0.042511,             0.02485,           0.0026533,             0.85619,             0.72285,             0.81009,             0.43739,            0.040068,            0.011373,            0.010068,            0.009076,            0.009076,            0.009076
                  30,            0.037539,            0.022172,           0.0025588,             0.91568,             0.84725,             0.85234,             0.47794,            0.037597,            0.011205,            0.012133,            0.009043,            0.009043,            0.009043
                  31,            0.037278,            0.021083,             0.00236,             0.88666,             0.77121,             0.84297,             0.50575,            0.038158,             0.01086,            0.012098,             0.00901,             0.00901,             0.00901
                  32,            0.039083,            0.020752,           0.0020837,             0.83968,             0.81948,             0.87959,             0.54258,            0.038057,            0.011457,            0.011739,            0.008977,            0.008977,            0.008977
                  33,            0.037889,            0.023024,           0.0022071,             0.87082,             0.75901,             0.80252,             0.48626,             0.03423,            0.011224,            0.010817,            0.008944,            0.008944,            0.008944
                  34,            0.039058,            0.022451,            0.002006,              0.8189,             0.68481,             0.71018,             0.39598,            0.041954,            0.012684,            0.015377,            0.008911,            0.008911,            0.008911
                  35,            0.034759,            0.018974,           0.0020794,             0.85964,             0.81137,             0.81431,             0.51415,            0.035285,            0.012468,            0.011416,            0.008878,            0.008878,            0.008878
                  36,            0.035849,            0.022027,           0.0021475,             0.76667,             0.64973,             0.69398,             0.41322,            0.038136,            0.012705,            0.014736,            0.008845,            0.008845,            0.008845
                  37,            0.034085,            0.020326,           0.0021941,             0.85759,              0.6039,             0.70336,             0.41351,            0.037438,            0.012517,              0.0143,            0.008812,            0.008812,            0.008812
                  38,            0.034623,            0.021692,           0.0021435,             0.91167,             0.55777,             0.64986,             0.39628,            0.037871,            0.014045,            0.014551,            0.008779,            0.008779,            0.008779
                  39,            0.032968,            0.020048,           0.0019926,             0.81037,              0.7285,             0.81157,             0.48505,            0.036361,              0.0107,             0.01719,            0.008746,            0.008746,            0.008746
                  40,            0.037727,            0.020766,           0.0018632,             0.77414,             0.71514,              0.7715,             0.40494,            0.038468,            0.012801,            0.018018,            0.008713,            0.008713,            0.008713
                  41,            0.037212,             0.02251,           0.0015416,             0.87461,             0.63651,             0.73894,             0.40308,            0.038691,            0.013471,            0.015326,             0.00868,             0.00868,             0.00868
                  42,            0.031195,            0.019982,           0.0018093,             0.84733,             0.79491,             0.80531,             0.44783,            0.035478,            0.011771,            0.015533,            0.008647,            0.008647,            0.008647
                  43,            0.035319,            0.020453,           0.0019687,             0.89273,             0.68336,              0.7939,             0.42977,            0.038546,            0.013191,            0.015619,            0.008614,            0.008614,            0.008614
                  44,            0.029483,            0.019159,           0.0018771,             0.84239,             0.72901,             0.80103,             0.44428,            0.037689,            0.012281,            0.017793,            0.008581,            0.008581,            0.008581
                  45,            0.032669,            0.020998,             0.00183,             0.82551,             0.82586,             0.80511,             0.43788,            0.041612,            0.013321,            0.017083,            0.008548,            0.008548,            0.008548
                  46,            0.033023,            0.019752,           0.0017902,             0.86329,             0.85238,             0.81063,             0.45637,            0.038277,            0.012165,            0.019457,            0.008515,            0.008515,            0.008515
                  47,            0.028257,            0.020468,            0.001869,             0.86356,             0.87617,             0.86602,             0.52774,            0.034698,            0.011581,            0.019322,            0.008482,            0.008482,            0.008482
                  48,            0.032024,            0.019511,            0.001701,             0.81401,             0.80558,               0.821,             0.51639,            0.034983,            0.011757,            0.016015,            0.008449,            0.008449,            0.008449
                  49,            0.030062,            0.017638,           0.0016974,             0.81196,             0.82354,             0.84613,             0.47041,            0.035832,            0.011447,            0.015548,            0.008416,            0.008416,            0.008416
                  50,            0.028736,            0.017716,           0.0015845,             0.81886,             0.73384,             0.81806,             0.47758,            0.033401,            0.011832,            0.016144,            0.008383,            0.008383,            0.008383
