               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10531,             0.04225,            0.038928,            0.001962,              0.2125,           0.0014101,          0.00034402,            0.095178,            0.031006,            0.035899,              0.0892,              0.0012,              0.0012
                   1,            0.091207,            0.044427,            0.034428,           0.0033729,             0.31944,            0.033406,           0.0096738,            0.084659,            0.030443,            0.027737,            0.077492,           0.0024918,           0.0024918
                   2,            0.081877,            0.049062,            0.028176,            0.045199,             0.49028,             0.23257,            0.081268,            0.075241,            0.028427,            0.017131,            0.065775,           0.0037749,           0.0037749
                   3,            0.077402,            0.042411,            0.023895,             0.75927,             0.23333,             0.27984,             0.13842,            0.081717,            0.024778,           0.0095036,             0.05405,           0.0050495,           0.0050495
                   4,            0.080979,            0.038726,            0.020374,            0.076406,             0.40694,            0.089423,            0.041407,            0.090617,            0.019554,           0.0081798,            0.042316,           0.0063155,           0.0063155
                   5,            0.078908,            0.041907,            0.015924,             0.82898,             0.17401,             0.18882,             0.07912,            0.089626,            0.020803,           0.0079607,            0.030573,            0.007573,            0.007573
                   6,             0.07755,            0.037236,            0.012926,             0.76537,             0.13889,             0.11295,            0.026246,             0.10516,            0.017872,           0.0039855,            0.018822,           0.0088218,           0.0088218
                   7,             0.08405,            0.034566,            0.012418,              0.1616,             0.28472,             0.12928,            0.038445,            0.075695,            0.021214,           0.0051457,            0.009769,            0.009769,            0.009769
                   8,            0.075352,            0.031906,            0.010246,             0.51281,             0.19441,             0.19484,            0.089363,            0.084929,            0.020413,           0.0037432,            0.009769,            0.009769,            0.009769
                   9,            0.071579,            0.032026,           0.0086756,             0.31174,             0.30417,             0.35192,             0.11844,            0.071786,            0.019512,           0.0069729,            0.009736,            0.009736,            0.009736
                  10,            0.070129,            0.030484,           0.0079911,             0.43902,             0.24583,             0.12529,            0.048868,            0.074084,             0.01987,           0.0041558,            0.009703,            0.009703,            0.009703
                  11,            0.065634,            0.031907,           0.0074125,               0.242,               0.775,             0.33678,             0.12791,            0.059333,            0.018197,           0.0041479,             0.00967,             0.00967,             0.00967
                  12,            0.065289,            0.028466,           0.0072199,             0.13909,             0.68588,             0.18618,            0.073881,            0.058056,            0.019914,           0.0048828,            0.009637,            0.009637,            0.009637
                  13,             0.05775,            0.029171,           0.0053996,             0.23292,             0.63056,              0.3142,            0.086495,             0.06855,            0.018115,           0.0033994,            0.009604,            0.009604,            0.009604
                  14,            0.056538,             0.02965,            0.004786,              0.2016,             0.87639,             0.28746,            0.091153,            0.061877,            0.020384,           0.0039154,            0.009571,            0.009571,            0.009571
                  15,            0.056551,            0.029415,           0.0048131,             0.53456,             0.48472,             0.53159,             0.24917,            0.048739,            0.020372,           0.0032988,            0.009538,            0.009538,            0.009538
                  16,             0.05249,            0.026151,           0.0062468,             0.49677,             0.84444,             0.61193,               0.195,            0.053784,            0.017918,           0.0030817,            0.009505,            0.009505,            0.009505
                  17,            0.054409,            0.026685,           0.0038725,             0.39475,             0.79444,             0.63912,             0.18455,            0.057236,            0.017743,           0.0024099,            0.009472,            0.009472,            0.009472
                  18,            0.052689,            0.026582,           0.0042536,             0.65599,             0.37239,             0.44922,             0.19692,             0.07175,            0.021832,           0.0065453,            0.009439,            0.009439,            0.009439
                  19,            0.055461,            0.026931,           0.0041527,             0.53454,             0.51038,             0.53406,             0.23756,            0.052906,            0.017043,           0.0030016,            0.009406,            0.009406,            0.009406
                  20,            0.051503,            0.025917,            0.004338,             0.63576,             0.51508,             0.64792,             0.30222,              0.0501,            0.015524,           0.0027804,            0.009373,            0.009373,            0.009373
                  21,            0.044753,            0.025959,           0.0040896,             0.69025,             0.72778,             0.76475,             0.28225,            0.050332,            0.015502,           0.0023224,             0.00934,             0.00934,             0.00934
                  22,            0.045864,            0.024389,           0.0035836,             0.69607,             0.73135,             0.74937,             0.35977,            0.046552,            0.014022,           0.0022075,            0.009307,            0.009307,            0.009307
                  23,            0.043245,            0.026152,           0.0033629,             0.74451,             0.63781,             0.74729,              0.3139,            0.046968,             0.01439,           0.0020402,            0.009274,            0.009274,            0.009274
                  24,            0.045068,            0.024931,           0.0031199,             0.60051,             0.59861,             0.68337,             0.30933,            0.056109,             0.01461,           0.0026316,            0.009241,            0.009241,            0.009241
                  25,             0.04663,            0.024097,           0.0030766,              0.6498,             0.57802,             0.63656,              0.2559,            0.044189,            0.016091,            0.003331,            0.009208,            0.009208,            0.009208
                  26,            0.045161,            0.025624,           0.0030516,             0.74284,             0.71527,             0.75697,             0.35476,            0.045664,            0.013415,           0.0030462,            0.009175,            0.009175,            0.009175
                  27,            0.044359,            0.023992,           0.0028301,             0.71838,             0.70829,             0.67454,             0.35563,            0.039326,             0.01382,           0.0031016,            0.009142,            0.009142,            0.009142
                  28,            0.043883,             0.02241,           0.0023302,             0.77124,             0.73749,             0.69071,             0.28858,            0.049975,            0.014107,           0.0030888,            0.009109,            0.009109,            0.009109
                  29,            0.039157,            0.022931,           0.0025476,             0.65542,             0.73446,             0.70242,             0.33047,            0.043586,            0.014978,           0.0031575,            0.009076,            0.009076,            0.009076
                  30,            0.038878,            0.022881,           0.0024399,              0.7782,              0.6093,             0.73596,             0.40805,            0.041034,            0.013457,            0.002624,            0.009043,            0.009043,            0.009043
                  31,            0.038706,             0.02175,           0.0022468,             0.74944,             0.61236,             0.73476,             0.34572,             0.04463,            0.013642,           0.0023913,             0.00901,             0.00901,             0.00901
                  32,             0.04021,            0.022308,           0.0026602,             0.63249,             0.77159,             0.71697,             0.37874,            0.043193,             0.01524,           0.0026507,            0.008977,            0.008977,            0.008977
                  33,            0.038948,            0.021989,           0.0023274,             0.56368,             0.79028,             0.64396,             0.33491,            0.043608,            0.012921,           0.0029787,            0.008944,            0.008944,            0.008944
                  34,            0.036327,            0.022462,           0.0026038,             0.70368,             0.79028,              0.6892,             0.32845,            0.043626,            0.012783,            0.003036,            0.008911,            0.008911,            0.008911
                  35,            0.037841,            0.022708,           0.0026929,             0.71031,             0.71389,              0.6872,             0.35576,            0.043556,             0.01338,           0.0031813,            0.008878,            0.008878,            0.008878
                  36,            0.037893,            0.022347,           0.0022485,             0.62652,             0.69028,             0.65456,             0.27737,            0.043301,            0.013032,           0.0030197,            0.008845,            0.008845,            0.008845
                  37,              0.0375,            0.022505,           0.0023552,             0.68511,             0.66806,             0.67725,             0.33428,            0.043586,            0.013547,           0.0029312,            0.008812,            0.008812,            0.008812
                  38,            0.035372,            0.021772,           0.0022949,             0.63483,             0.64167,             0.62169,             0.28565,            0.038132,            0.014755,           0.0028131,            0.008779,            0.008779,            0.008779
                  39,            0.036647,            0.021341,           0.0024187,             0.87099,             0.64503,              0.7166,             0.33792,            0.043747,             0.01392,           0.0026315,            0.008746,            0.008746,            0.008746
                  40,            0.038054,            0.020678,           0.0022482,             0.84925,             0.62859,             0.69688,             0.33306,            0.041046,            0.016585,           0.0024191,            0.008713,            0.008713,            0.008713
                  41,            0.033584,            0.021526,           0.0026061,             0.75858,             0.67917,             0.74246,             0.40604,            0.037124,            0.013161,           0.0019157,             0.00868,             0.00868,             0.00868
                  42,            0.033201,            0.020798,           0.0020171,             0.69468,             0.69306,             0.71177,             0.38574,             0.03737,            0.012663,           0.0020545,            0.008647,            0.008647,            0.008647
                  43,            0.034697,             0.01943,           0.0022497,             0.72312,             0.69201,             0.73711,             0.36257,            0.035441,            0.013034,           0.0023655,            0.008614,            0.008614,            0.008614
                  44,            0.033072,            0.019797,           0.0020438,             0.74341,             0.68472,             0.71305,             0.41955,            0.034762,            0.012403,           0.0018917,            0.008581,            0.008581,            0.008581
                  45,            0.033212,            0.020418,           0.0020352,             0.60683,             0.60139,             0.58518,             0.32825,            0.043071,            0.014184,           0.0022251,            0.008548,            0.008548,            0.008548
                  46,            0.031709,             0.01897,            0.001894,             0.72219,             0.69515,             0.67405,             0.42616,            0.031255,            0.013312,            0.002012,            0.008515,            0.008515,            0.008515
                  47,            0.033405,             0.02028,           0.0021677,             0.67721,             0.67917,             0.67701,             0.43535,            0.032125,             0.01331,           0.0023363,            0.008482,            0.008482,            0.008482
                  48,            0.033392,            0.019797,           0.0018295,             0.66993,             0.69444,             0.69345,             0.34296,            0.040212,             0.01306,           0.0023427,            0.008449,            0.008449,            0.008449
                  49,            0.030653,            0.018875,           0.0018391,             0.66428,              0.7305,             0.71961,             0.38055,            0.035161,            0.013287,           0.0025038,            0.008416,            0.008416,            0.008416
                  50,            0.030701,            0.019173,           0.0018711,             0.72174,             0.66389,             0.68632,             0.32932,            0.036039,            0.013819,           0.0030195,            0.008383,            0.008383,            0.008383
                  51,            0.035069,            0.019757,           0.0017709,             0.75625,             0.57778,             0.63304,             0.34262,            0.046864,            0.015371,           0.0042567,             0.00835,             0.00835,             0.00835
                  52,            0.032224,            0.018839,           0.0020009,             0.79606,             0.74468,             0.73644,             0.34828,            0.039814,            0.013216,           0.0029689,            0.008317,            0.008317,            0.008317
                  53,            0.031176,            0.019349,           0.0017811,             0.80194,             0.75939,             0.76323,             0.46591,            0.039311,            0.011678,           0.0030121,            0.008284,            0.008284,            0.008284
                  54,            0.029679,            0.019491,           0.0017684,              0.7089,             0.67361,             0.68629,             0.42583,            0.038425,             0.01168,           0.0034855,            0.008251,            0.008251,            0.008251
                  55,            0.032592,            0.017882,           0.0014661,             0.67024,             0.69152,             0.68595,             0.44823,            0.032801,            0.011767,           0.0041383,            0.008218,            0.008218,            0.008218
                  56,            0.030177,            0.018233,           0.0015592,             0.70264,             0.76035,             0.70005,             0.36057,            0.037783,            0.012211,           0.0031331,            0.008185,            0.008185,            0.008185
                  57,            0.029473,             0.01776,           0.0017772,             0.68936,             0.73818,             0.73131,             0.42839,            0.039745,            0.013029,           0.0033607,            0.008152,            0.008152,            0.008152
                  58,            0.028757,            0.018066,           0.0017269,             0.65615,             0.67336,             0.70534,             0.43313,            0.036504,            0.013085,           0.0045354,            0.008119,            0.008119,            0.008119
                  59,            0.030389,            0.018244,           0.0015962,             0.72085,             0.71533,              0.7266,             0.42119,            0.033304,            0.012517,            0.003549,            0.008086,            0.008086,            0.008086
