               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11213,            0.036677,            0.039482,           0.0031491,              0.3927,            0.009884,           0.0015116,            0.099799,            0.022778,            0.037749,              0.0892,              0.0012,              0.0012
                   1,            0.096386,            0.040339,            0.032998,           0.0028293,             0.40299,            0.042889,           0.0083737,            0.086592,            0.022202,            0.034427,            0.077492,           0.0024918,           0.0024918
                   2,            0.082839,            0.043006,            0.026401,             0.68802,            0.058824,            0.032155,           0.0090919,            0.081185,            0.020193,            0.032464,            0.065775,           0.0037749,           0.0037749
                   3,            0.078992,             0.04131,            0.021227,             0.32628,             0.14049,             0.10049,            0.042982,             0.08852,            0.021932,            0.031528,             0.05405,           0.0050495,           0.0050495
                   4,            0.082336,            0.035729,            0.017561,             0.51535,             0.16306,             0.10198,            0.039903,            0.087224,            0.018332,            0.027121,            0.042316,           0.0063155,           0.0063155
                   5,            0.079909,            0.035273,            0.015272,             0.98057,            0.078431,             0.23439,            0.073502,            0.081413,            0.016247,            0.028147,            0.030573,            0.007573,            0.007573
                   6,            0.076741,            0.034164,            0.013735,            0.036669,             0.13098,            0.081829,            0.018645,            0.077928,            0.015586,            0.025473,            0.018822,           0.0088218,           0.0088218
                   7,            0.082192,             0.03179,            0.011863,            0.073874,             0.21098,             0.13422,            0.027159,            0.082662,            0.015422,             0.02166,            0.009769,            0.009769,            0.009769
                   8,            0.076573,             0.03098,            0.011066,             0.12114,             0.27451,              0.1397,            0.036058,            0.083583,            0.018514,            0.023155,            0.009769,            0.009769,            0.009769
                   9,             0.07105,            0.032301,           0.0095217,             0.15222,              0.4348,             0.22896,            0.057091,            0.070754,            0.017902,            0.020027,            0.009736,            0.009736,            0.009736
                  10,            0.065802,            0.032521,           0.0089114,             0.25131,             0.44431,             0.25693,            0.087606,            0.076288,            0.020469,            0.018305,            0.009703,            0.009703,            0.009703
                  11,            0.068314,            0.030384,            0.007315,             0.27193,             0.45059,             0.25834,            0.072924,            0.065399,            0.018273,            0.018493,             0.00967,             0.00967,             0.00967
                  12,            0.063858,            0.029087,           0.0061317,             0.56771,             0.39971,             0.44255,              0.1583,            0.065784,            0.014135,            0.016483,            0.009637,            0.009637,            0.009637
                  13,            0.056028,            0.029263,           0.0060835,             0.29201,             0.59186,             0.38235,             0.10639,            0.058926,            0.015108,            0.016108,            0.009604,            0.009604,            0.009604
                  14,            0.057596,            0.027459,           0.0051258,             0.32041,             0.56353,             0.39272,             0.12851,            0.065079,            0.015139,            0.018817,            0.009571,            0.009571,            0.009571
                  15,            0.060621,            0.026533,           0.0049031,             0.44163,             0.42497,              0.4225,              0.1822,            0.056335,            0.016139,            0.018631,            0.009538,            0.009538,            0.009538
                  16,            0.057126,            0.026548,           0.0048263,             0.21626,             0.26049,             0.17663,            0.057298,            0.076582,            0.015953,            0.028927,            0.009505,            0.009505,            0.009505
                  17,            0.053061,            0.026979,           0.0049083,             0.42055,             0.45581,             0.40565,             0.14067,            0.058463,            0.015479,            0.027409,            0.009472,            0.009472,            0.009472
                  18,            0.049006,            0.025542,           0.0043135,             0.32188,             0.47525,             0.25414,            0.079347,             0.06432,            0.013215,            0.025702,            0.009439,            0.009439,            0.009439
                  19,            0.051833,            0.025005,           0.0035254,             0.53186,             0.45604,             0.45384,             0.18553,            0.049315,            0.013208,            0.023094,            0.009406,            0.009406,            0.009406
                  20,            0.050569,            0.024451,           0.0037672,             0.59737,             0.57304,              0.5834,              0.2175,            0.047629,            0.011941,            0.018985,            0.009373,            0.009373,            0.009373
                  21,            0.048074,            0.025058,           0.0039034,             0.41914,             0.62191,             0.53106,             0.23039,            0.052029,            0.013398,            0.019135,             0.00934,             0.00934,             0.00934
