               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036519,            0.021465,            0.002331,             0.92862,             0.80382,             0.83279,              0.5135,            0.037796,            0.011747,           0.0090556,            0.008812,            0.008812,            0.008812
                  38,            0.032999,            0.020074,            0.002249,             0.87496,             0.73009,             0.79128,             0.45861,            0.039049,            0.013292,           0.0099224,            0.008779,            0.008779,            0.008779
                  39,            0.033012,            0.017731,             0.00212,             0.86734,             0.73233,              0.7592,             0.53147,             0.03535,            0.012504,           0.0097116,            0.008746,            0.008746,            0.008746
                  40,            0.033311,            0.019909,           0.0016908,             0.88102,             0.74205,             0.77281,             0.46297,            0.038232,            0.012646,           0.0091165,            0.008713,            0.008713,            0.008713
                  41,            0.036778,            0.021724,           0.0016203,             0.94727,             0.80539,             0.82718,             0.54478,            0.036767,            0.012332,            0.008955,             0.00868,             0.00868,             0.00868
                  42,            0.031906,            0.018903,           0.0015467,             0.95875,             0.82362,             0.87014,             0.44905,            0.040435,             0.01085,            0.008033,            0.008647,            0.008647,            0.008647
                  43,            0.031335,            0.020782,           0.0017955,              0.9532,              0.8019,             0.84666,             0.50189,             0.04043,            0.011105,           0.0094213,            0.008614,            0.008614,            0.008614
                  44,            0.032421,             0.02136,           0.0021003,             0.90556,             0.73161,             0.82395,             0.50183,             0.03693,            0.011276,           0.0094905,            0.008581,            0.008581,            0.008581
                  45,            0.031048,            0.019267,           0.0019445,             0.91689,             0.82237,             0.88829,             0.52403,            0.036909,            0.010953,            0.012086,            0.008548,            0.008548,            0.008548
                  46,            0.034188,            0.019722,           0.0017346,             0.89573,             0.75298,             0.81796,             0.48099,            0.036061,            0.011352,            0.014553,            0.008515,            0.008515,            0.008515
                  47,              0.0299,            0.020374,           0.0015329,               0.961,             0.82762,             0.89678,             0.50734,            0.033634,            0.011317,            0.013567,            0.008482,            0.008482,            0.008482
                  48,            0.036109,            0.017168,            0.001879,             0.97412,             0.88789,             0.90934,             0.57202,            0.032956,            0.010968,            0.012287,            0.008449,            0.008449,            0.008449
                  49,            0.026925,            0.020707,            0.001799,              0.8723,             0.81667,             0.82679,             0.53076,            0.031822,            0.010969,            0.011372,            0.008416,            0.008416,            0.008416
                  50,            0.032162,            0.019875,           0.0017787,             0.95097,             0.90682,             0.93277,             0.60554,            0.030876,           0.0099831,            0.011964,            0.008383,            0.008383,            0.008383
                  51,            0.027502,            0.018471,           0.0017648,             0.97039,              0.7827,             0.83835,             0.55616,            0.033535,            0.010995,            0.010598,             0.00835,             0.00835,             0.00835
                  52,            0.029509,             0.01951,           0.0015445,             0.93349,             0.78484,             0.84794,             0.55211,            0.034404,             0.01131,            0.013274,            0.008317,            0.008317,            0.008317
                  53,            0.028113,            0.016736,            0.001658,             0.94934,             0.65492,             0.80845,             0.52846,            0.035971,            0.012376,            0.012282,            0.008284,            0.008284,            0.008284
                  54,            0.030014,            0.017244,           0.0017805,             0.74425,             0.84726,             0.85416,             0.47983,            0.035284,            0.012085,            0.013395,            0.008251,            0.008251,            0.008251
                  55,            0.026358,            0.017105,           0.0015648,              0.9225,               0.776,             0.86443,             0.53985,            0.035652,            0.011749,            0.012608,            0.008218,            0.008218,            0.008218
                  56,            0.030361,            0.017142,           0.0015277,             0.74239,             0.81445,             0.84717,             0.54755,            0.036558,            0.011808,            0.013533,            0.008185,            0.008185,            0.008185
                  57,            0.027368,            0.018709,            0.001497,             0.83011,             0.81429,             0.85574,              0.5434,            0.034535,            0.010783,            0.013703,            0.008152,            0.008152,            0.008152
                  58,            0.028153,            0.017384,           0.0015384,             0.92419,             0.68722,             0.81392,             0.48835,            0.037215,            0.011734,            0.011591,            0.008119,            0.008119,            0.008119
                  59,            0.029603,            0.017637,           0.0015981,             0.93635,             0.75873,             0.81403,             0.51059,            0.036553,            0.011122,            0.012861,            0.008086,            0.008086,            0.008086
                  60,            0.026499,            0.016444,           0.0015442,             0.89008,             0.85858,              0.8919,               0.594,            0.032475,            0.010776,            0.011731,            0.008053,            0.008053,            0.008053
                  61,             0.02849,            0.016849,           0.0014769,              0.9331,             0.89275,             0.90891,             0.56977,            0.033888,            0.011013,             0.01334,             0.00802,             0.00802,             0.00802
                  62,            0.028253,            0.017248,           0.0015158,             0.93228,             0.78445,             0.84356,             0.58395,            0.036083,            0.011657,            0.014114,            0.007987,            0.007987,            0.007987
                  63,            0.030421,            0.017495,           0.0017052,             0.94445,             0.85034,             0.88162,             0.56726,            0.034029,            0.011189,            0.012747,            0.007954,            0.007954,            0.007954
                  64,            0.025525,            0.019463,           0.0015266,             0.90196,             0.86797,             0.89767,             0.60593,            0.032501,            0.010714,            0.013643,            0.007921,            0.007921,            0.007921
                  65,            0.026675,            0.018098,           0.0013726,             0.86719,             0.83571,             0.89342,             0.55406,             0.03266,            0.011371,             0.01453,            0.007888,            0.007888,            0.007888
                  66,             0.02732,            0.016189,           0.0013731,             0.89139,             0.83946,             0.83965,             0.51333,            0.036244,            0.011616,            0.014727,            0.007855,            0.007855,            0.007855
                  67,             0.02569,            0.016952,           0.0013265,             0.82837,             0.75895,              0.7879,             0.50444,            0.033867,            0.011956,            0.014984,            0.007822,            0.007822,            0.007822
                  68,            0.027028,            0.017559,           0.0013486,             0.88041,               0.774,             0.82953,             0.54405,            0.032791,            0.011787,            0.017029,            0.007789,            0.007789,            0.007789
                  69,            0.025909,             0.01708,           0.0014001,             0.89017,             0.86448,             0.89355,             0.57054,            0.033516,            0.011726,            0.014023,            0.007756,            0.007756,            0.007756
                  70,            0.024743,             0.01817,           0.0013954,             0.93016,              0.8425,             0.91192,             0.58976,            0.033484,            0.011408,            0.012723,            0.007723,            0.007723,            0.007723
                  71,            0.026865,            0.016879,           0.0016017,             0.87526,             0.84417,              0.8588,             0.55114,            0.035042,            0.011185,            0.013276,             0.00769,             0.00769,             0.00769
                  72,            0.025767,            0.016671,           0.0017115,             0.89394,             0.88599,             0.88963,             0.55625,            0.034443,            0.011017,            0.013389,            0.007657,            0.007657,            0.007657
                  73,            0.028003,            0.018821,           0.0014872,             0.85587,             0.88241,             0.88808,             0.58514,            0.032341,            0.010443,            0.011357,            0.007624,            0.007624,            0.007624
                  74,            0.026457,            0.016922,           0.0012852,             0.92355,             0.81774,             0.85876,             0.57742,            0.033349,            0.010701,            0.011092,            0.007591,            0.007591,            0.007591
                  75,            0.025086,            0.017409,           0.0013716,              0.8859,             0.84611,             0.83854,             0.55931,            0.033487,            0.011581,            0.011902,            0.007558,            0.007558,            0.007558
                  76,             0.02354,            0.014704,           0.0012515,             0.89008,             0.67699,             0.78354,             0.52167,            0.034991,            0.012179,            0.011675,            0.007525,            0.007525,            0.007525
                  77,            0.026894,            0.016548,           0.0012413,             0.96095,             0.68397,             0.83084,              0.5461,            0.033512,            0.011381,            0.010835,            0.007492,            0.007492,            0.007492
                  78,            0.027164,            0.016643,           0.0014378,             0.90827,              0.8211,             0.85811,             0.54795,            0.032823,            0.011201,            0.011189,            0.007459,            0.007459,            0.007459
                  79,            0.026341,            0.016206,           0.0011787,             0.84016,             0.84621,             0.87376,             0.58703,            0.030688,            0.010861,            0.011273,            0.007426,            0.007426,            0.007426
                  80,            0.024571,             0.01605,           0.0014113,             0.89173,             0.78564,             0.88874,             0.55906,            0.032126,            0.011455,            0.012068,            0.007393,            0.007393,            0.007393
                  81,            0.023297,            0.015655,           0.0012434,             0.88579,              0.8175,             0.87126,             0.55921,             0.03286,            0.010857,            0.011504,             0.00736,             0.00736,             0.00736
