               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11005,            0.036788,            0.040301,          0.00060827,            0.063889,           0.0003374,          9.4159e-05,             0.10636,            0.027455,            0.038436,              0.0892,              0.0012,              0.0012
                   1,            0.096082,            0.042252,            0.035492,           0.0051325,              0.5375,            0.088733,            0.023003,            0.086793,            0.029296,            0.028642,            0.077488,           0.0024876,           0.0024876
                   2,            0.083506,            0.041811,            0.029702,           0.0047584,             0.63889,            0.073543,            0.020377,            0.082288,            0.026155,            0.021221,            0.065762,           0.0037624,           0.0037624
                   3,            0.075376,            0.042675,            0.025356,             0.45226,             0.16667,             0.12824,            0.042986,            0.079626,            0.024632,            0.012683,            0.054024,           0.0050243,           0.0050243
                   4,            0.079721,            0.040432,            0.021908,             0.39538,             0.17222,            0.072081,            0.013686,            0.090152,            0.022544,           0.0094623,            0.042273,           0.0062733,           0.0062733
                   5,            0.077978,            0.039164,            0.019063,             0.92447,             0.21111,             0.27317,            0.072939,            0.080346,            0.027283,           0.0093594,            0.030509,           0.0075094,           0.0075094
                   6,            0.075701,            0.036231,            0.017163,             0.75285,             0.11111,            0.092224,            0.016647,            0.085633,            0.028256,           0.0058956,            0.018733,           0.0087327,           0.0087327
                   7,            0.080871,            0.034348,            0.014594,             0.58154,              0.2571,              0.1512,            0.050017,            0.093459,            0.016833,           0.0034591,           0.0096535,           0.0096535,           0.0096535
                   8,            0.075912,            0.032363,            0.013851,             0.13908,             0.39861,             0.16843,            0.045661,            0.087881,            0.020682,            0.004102,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069259,            0.033006,            0.011853,             0.49286,             0.25278,             0.20985,            0.048721,            0.070939,            0.028153,           0.0042139,            0.009604,            0.009604,            0.009604
                  10,            0.065829,            0.033829,            0.011523,             0.13212,             0.43611,             0.15564,            0.070629,            0.079126,            0.021082,           0.0041983,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066601,            0.037728,            0.010555,             0.17823,             0.64861,             0.36921,             0.10332,            0.071909,            0.031584,           0.0032785,            0.009505,            0.009505,            0.009505
                  12,            0.063743,             0.03433,           0.0084546,             0.33842,             0.61944,             0.34781,            0.089322,            0.065771,            0.031927,           0.0025669,           0.0094555,           0.0094555,           0.0094555
                  13,            0.058193,            0.030775,           0.0079926,             0.25786,             0.63194,             0.39218,             0.11497,            0.073425,            0.023775,            0.002971,            0.009406,            0.009406,            0.009406
                  14,            0.058634,            0.029768,           0.0062602,              0.2762,             0.62361,             0.42113,             0.16538,            0.057369,            0.018798,           0.0037723,           0.0093565,           0.0093565,           0.0093565
                  15,            0.054718,            0.028082,           0.0061299,             0.32023,             0.64028,             0.47603,              0.2176,            0.053753,            0.019497,           0.0037143,            0.009307,            0.009307,            0.009307
                  16,            0.055473,            0.030184,           0.0054822,             0.70034,             0.33333,             0.39817,             0.17523,            0.060599,            0.016932,           0.0028825,           0.0092575,           0.0092575,           0.0092575
                  17,            0.050649,            0.026226,           0.0046513,              0.3711,             0.63203,             0.52378,             0.24053,            0.054811,            0.017239,           0.0031992,            0.009208,            0.009208,            0.009208
                  18,            0.050848,            0.027091,           0.0046667,             0.35148,             0.37222,              0.3573,            0.094913,            0.062344,            0.016561,           0.0037321,           0.0091585,           0.0091585,           0.0091585
                  19,            0.053938,            0.026225,           0.0041907,             0.42453,             0.66227,             0.54243,              0.2628,            0.049386,            0.014839,           0.0034071,            0.009109,            0.009109,            0.009109
                  20,            0.050261,            0.024626,           0.0041297,              0.4931,             0.74028,             0.56989,             0.22646,            0.052264,            0.013938,            0.003574,           0.0090595,           0.0090595,           0.0090595
